bike_id,status,created_at,updated_at
64,4,2024-05-12 13:13:36.790001,2024-12-04 02:34:21.606719
65,1,2023-12-29 20:10:51.078000,2024-12-02 21:01:18.776646
66,1,2024-03-15 12:11:38.651743,2024-12-04 11:08:38.125488
67,3,2024-06-23 05:45:21.741089,2024-12-04 01:55:56.946243
68,1,2024-10-30 07:03:30.617659,2024-12-03 11:05:07.781631
69,1,2024-11-27 14:35:31.187458,2024-12-03 18:14:07.932626
70,1,2024-04-05 08:18:19.838986,2024-12-03 00:17:54.628161
71,1,2024-04-19 08:27:50.164011,2024-12-02 18:11:20.067842
72,3,2024-04-15 02:26:59.078950,2024-12-03 08:04:43.219716
73,3,2024-04-11 02:15:24.107213,2024-12-04 14:56:59.012799
74,1,2024-01-31 12:00:32.333896,2024-12-04 13:39:33.364956
75,1,2023-12-21 04:07:57.716579,2024-12-03 16:59:54.185045
76,1,2023-12-18 19:06:52.994460,2024-12-02 19:07:03.040244
77,1,2024-03-22 23:57:21.769067,2024-12-04 09:09:59.320675
78,1,2024-07-18 12:26:12.489708,2024-12-03 14:02:53.164828
79,1,2024-08-21 13:11:01.792740,2024-12-04 03:15:00.269325
80,3,2024-11-26 10:26:59.465480,2024-12-03 14:02:47.617549
81,1,2024-01-17 13:44:52.635353,2024-12-02 19:06:12.317662
82,1,2024-05-09 10:38:06.236469,2024-12-04 01:32:36.518933
83,3,2024-05-05 16:25:20.545624,2024-12-04 17:15:28.282954
84,1,2024-03-04 23:38:58.826684,2024-12-03 04:16:47.505711
85,1,2024-08-10 23:35:32.392855,2024-12-03 15:14:39.515105
86,1,2024-02-22 19:28:08.036883,2024-12-04 10:43:51.416274
87,1,2024-02-22 13:48:58.670727,2024-12-04 05:40:48.112040
88,1,2024-01-21 23:38:56.796547,2024-12-03 00:15:02.711719
89,1,2024-07-29 05:41:16.375673,2024-12-03 07:42:45.772857
90,3,2024-07-09 10:17:13.040526,2024-12-03 03:18:10.982175
91,3,2024-06-11 02:32:47.314385,2024-12-03 17:53:08.254675
92,3,2024-09-05 13:15:55.426649,2024-12-03 05:21:20.258585
93,1,2024-11-25 16:44:03.656645,2024-12-02 22:20:54.591161
94,1,2024-09-07 03:02:05.421609,2024-12-03 18:52:47.792523
95,3,2024-01-22 06:54:25.605159,2024-12-04 04:09:50.161755
96,1,2024-10-15 22:42:41.095543,2024-12-04 02:05:08.958870
97,1,2024-06-18 04:08:29.164918,2024-12-04 14:36:46.598227
98,3,2024-05-05 20:40:26.768880,2024-12-03 06:41:13.263542
99,1,2024-02-01 12:10:58.291569,2024-12-04 01:48:55.350590
100,3,2024-09-29 14:08:13.516842,2024-12-04 16:51:25.415612
